0,0,0,0,5912,80,8681,11301,1845,14429,11023,10099,4027
0,0,0,0,5912,58,8681,11301,1845,14429,11023,10099,4027
0,0,0,0,5912,-36,8681,11301,1845,14429,11023,10099,4027
0,0,0,0,43295,-60,48652,1212,25514,4934,17244,13522,3623
0,0,0,0,43295,52,48652,1212,25514,4934,17244,13522,3623
0,0,48,30,28859,17,15771,2347,9827,23992,8074,11537,6627
0,0,48,30,28859,71,15771,2347,9827,23992,8074,11537,6627
0,0,48,30,28859,3,15771,2347,9827,23992,8074,11537,6627
0,0,57,37,3564,-1,10340,8464,8669,13853,10218,8756,4263
0,0,57,37,3564,-58,10340,8464,8669,13853,10218,8756,4263
0,0,57,37,3564,-7,10340,8464,8669,13853,10218,8756,4263
0,0,69,50,6556,67,8731,11986,15219,13081,16283,9084,7251
0,0,69,50,6556,-35,8731,11986,15219,13081,16283,9084,7251
0,0,75,74,3927,19,7363,5380,45083,7957,12552,23030,6037
0,0,75,74,3927,43,7363,5380,45083,7957,12552,23030,6037
0,0,75,74,3927,55,7363,5380,45083,7957,12552,23030,6037
0,0,78,84,14892,12,7609,9598,9783,17361,11534,7558,4646
0,0,78,84,14892,54,7609,9598,9783,17361,11534,7558,4646
0,0,78,84,14892,26,7609,9598,9783,17361,11534,7558,4646
0,0,75,88,11870,27,15025,14077,9416,7609,9685,19971,1492
0,0,75,88,11870,-8,15025,14077,9416,7609,9685,19971,1492
0,0,75,88,11870,-33,15025,14077,9416,7609,9685,19971,1492
0,0,66,80,165809,43,35108,6591,37980,20686,13359,16333,3634
0,0,66,80,165809,9,35108,6591,37980,20686,13359,16333,3634
0,0,78,50,5081,64,8106,7134,4952,17932,13530,12308,4085
0,0,78,50,5081,50,8106,7134,4952,17932,13530,12308,4085
0,0,78,50,5081,6,8106,7134,4952,17932,13530,12308,4085
0,0,81,44,4219,7,11140,8330,6209,9941,14537,11222,3027
0,0,81,44,4219,34,11140,8330,6209,9941,14537,11222,3027
0,0,81,44,4219,1,11140,8330,6209,9941,14537,11222,3027
